"table","primary_key","column","old_value","new_value","reason","evidence_type","evidence_source"
"drivers","861","nationality","Argentinian ","Argentine","Kaggle stores 'Argentinian ' with a trailing space; every other Argentine driver in the table uses 'Argentine'.","internal","derived: trailing whitespace"
"pit_stops","1128|1|51","lap","2","51","Paired with the stop correction above.","internal","derived: stop>lap impossible; identical time+duration"
"pit_stops","1128|822|15","lap","2","15","Paired with the stop correction above.","internal","derived: stop>lap impossible; identical time+duration"
"pit_stops","1128|830|52","lap","2","52","Paired with the stop correction above.","internal","derived: stop>lap impossible; identical time+duration"
"pit_stops","1128|840|42","lap","2","42","Paired with the stop correction above.","internal","derived: stop>lap impossible; identical time+duration"
"pit_stops","1128|840|48","lap","3","48","Paired with the stop correction above.","internal","derived: stop>lap impossible; identical time+duration"
"pit_stops","1128|855|70","lap","2","70","Paired with the stop correction above.","internal","derived: stop>lap impossible; identical time+duration"
"pit_stops","1128|858|57","lap","2","57","Paired with the stop correction above.","internal","derived: stop>lap impossible; identical time+duration"
"pit_stops","1128|1|51","stop","51","2","stop and lap are transposed: stop > lap is impossible, and the row's time and duration are identical to Jolpica's, so it is the same event with two columns swapped. Kaggle's max stop number is 70.","internal","derived: stop>lap impossible; identical time+duration"
"pit_stops","1128|822|15","stop","15","2","stop and lap are transposed: stop > lap is impossible, and the row's time and duration are identical to Jolpica's, so it is the same event with two columns swapped. Kaggle's max stop number is 70.","internal","derived: stop>lap impossible; identical time+duration"
"pit_stops","1128|830|52","stop","52","2","stop and lap are transposed: stop > lap is impossible, and the row's time and duration are identical to Jolpica's, so it is the same event with two columns swapped. Kaggle's max stop number is 70.","internal","derived: stop>lap impossible; identical time+duration"
"pit_stops","1128|840|42","stop","42","2","stop and lap are transposed: stop > lap is impossible, and the row's time and duration are identical to Jolpica's, so it is the same event with two columns swapped. Kaggle's max stop number is 70.","internal","derived: stop>lap impossible; identical time+duration"
"pit_stops","1128|840|48","stop","48","3","stop and lap are transposed: stop > lap is impossible, and the row's time and duration are identical to Jolpica's, so it is the same event with two columns swapped. Kaggle's max stop number is 70.","internal","derived: stop>lap impossible; identical time+duration"
"pit_stops","1128|855|70","stop","70","2","stop and lap are transposed: stop > lap is impossible, and the row's time and duration are identical to Jolpica's, so it is the same event with two columns swapped. Kaggle's max stop number is 70.","internal","derived: stop>lap impossible; identical time+duration"
"pit_stops","1128|858|57","stop","57","2","stop and lap are transposed: stop > lap is impossible, and the row's time and duration are identical to Jolpica's, so it is the same event with two columns swapped. Kaggle's max stop number is 70.","internal","derived: stop>lap impossible; identical time+duration"
"qualifying","1151|860","position","16","19","Jolpica gives Bearman and Lawson both P16 and leaves P19 empty. Official qualifying classification: Lawson 16, Hulkenberg 17, Ocon 18, Bearman 19, Tsunoda 20 (no time).","official","https://www.formula1.com/en/results/2025/races/1260/emilia-romagna/qualifying"
"qualifying","1138|852","q1","1:30.710","1:30.716","Official Singapore qualifying gives Tsunoda a Q1 of 1:30.716; Kaggle has 1:30.710.","official","https://www.formula1.com/en/results/2024/races/1246/singapore/qualifying"
"results","1121|846","fastestLap","1","35","Kaggle records lap 1 as the fastest lap, which cannot happen on full fuel. Official confirms Jolpica's lap number.","official","https://www.formula1.com/en/results/2024/races/1229/bahrain/fastest-laps"
"results","1121|857","fastestLap","1","39","Kaggle records lap 1 as the fastest lap, which cannot happen on full fuel. Official confirms Jolpica's lap number.","official","https://www.formula1.com/en/results/2024/races/1229/bahrain/fastest-laps"
"results","1122|846","fastestLap","1","40","Kaggle records lap 1 as the fastest lap, which cannot happen on full fuel. Official confirms Jolpica's lap number.","official","https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/fastest-laps"
"results","1122|852","fastestLap","49","44","Sargeant's and Tsunoda's fastest laps are swapped in Kaggle. Official: Sargeant lap 49 / 1:33.026 / rank 15, Tsunoda lap 44 / 1:33.523 / rank 18.","official","https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/fastest-laps"
"results","1122|857","fastestLap","1","45","Kaggle records lap 1 as the fastest lap, which cannot happen on full fuel. Official confirms Jolpica's lap number.","official","https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/fastest-laps"
"results","1122|858","fastestLap","44","49","Sargeant's and Tsunoda's fastest laps are swapped in Kaggle. Official: Sargeant lap 49 / 1:33.026 / rank 15, Tsunoda lap 44 / 1:33.523 / rank 18.","official","https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/fastest-laps"
"results","1123|846","fastestLap","1","49","Kaggle records lap 1 as the fastest lap, which cannot happen on full fuel. Official confirms Jolpica's lap number.","official","https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/fastest-laps"
"results","1123|857","fastestLap","1","54","Kaggle records lap 1 as the fastest lap, which cannot happen on full fuel. Official confirms Jolpica's lap number.","official","https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/fastest-laps"
"results","1124|846","fastestLap","1","51","Kaggle records lap 1 as the fastest lap, which cannot happen on full fuel. Official confirms Jolpica's lap number.","official","https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/fastest-laps"
"results","1124|857","fastestLap","1","35","Kaggle records lap 1 as the fastest lap, which cannot happen on full fuel. Official confirms Jolpica's lap number.","official","https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/fastest-laps"
"results","1125|846","fastestLap","1","33","Kaggle records lap 1 as the fastest lap, which cannot happen on full fuel. Official confirms Jolpica's lap number.","official","https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/fastest-laps"
"results","1125|857","fastestLap","1","18","Kaggle records lap 1 as the fastest lap, which cannot happen on full fuel. Official confirms Jolpica's lap number.","official","https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/fastest-laps"
"results","1128|1","fastestLap","","63","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|4","fastestLap","","68","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|817","fastestLap","","46","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|822","fastestLap","","17","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|830","fastestLap","","58","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|832","fastestLap","","62","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|840","fastestLap","","59","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|842","fastestLap","","77","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|844","fastestLap","","71","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|846","fastestLap","","64","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|847","fastestLap","","73","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|848","fastestLap","","77","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|852","fastestLap","","77","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|855","fastestLap","","75","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|857","fastestLap","","73","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|858","fastestLap","","62","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1122|852","fastestLapTime","1:33.026","1:33.523","Sargeant's and Tsunoda's fastest laps are swapped in Kaggle. Official: Sargeant lap 49 / 1:33.026 / rank 15, Tsunoda lap 44 / 1:33.523 / rank 18.","official","https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/fastest-laps"
"results","1122|858","fastestLapTime","1:33.523","1:33.026","Sargeant's and Tsunoda's fastest laps are swapped in Kaggle. Official: Sargeant lap 49 / 1:33.026 / rank 15, Tsunoda lap 44 / 1:33.523 / rank 18.","official","https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/fastest-laps"
"results","1128|1","fastestLapTime","","1:14.165","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|4","fastestLapTime","","1:17.939","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|817","fastestLapTime","","1:17.172","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|822","fastestLapTime","","1:16.561","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|830","fastestLapTime","","1:14.569","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|832","fastestLapTime","","1:14.726","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|840","fastestLapTime","","1:16.710","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|842","fastestLapTime","","1:15.625","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|844","fastestLapTime","","1:15.162","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|846","fastestLapTime","","1:15.742","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|847","fastestLapTime","","1:15.228","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|848","fastestLapTime","","1:17.060","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|852","fastestLapTime","","1:14.720","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|855","fastestLapTime","","1:14.718","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|857","fastestLapTime","","1:16.281","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|858","fastestLapTime","","1:15.525","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1141|807","grid","17","18","Official starting grid for the 2024 Sao Paulo GP lists Hulkenberg P18; Kaggle has 17. The only pit-lane start that weekend was Sainz.","official","https://www.formula1.com/en/results/2024/races/1249/brazil/starting-grid"
"results","1122|815","milliseconds","4862704","4856916","Consistent with the corrected time string.","official","https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result"
"results","1122|825","milliseconds","4955646","4949010","Consistent with the corrected time string.","official","https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result"
